1	813468	0.5
1	3383745	0.22385
1	6157646	0.238643
1	24793116	0.876947
1	39246538	0.855955
1	41415590	0.0407873
1	52316486	0.511503
1	66056975	0.838091
1	72657647	0.792141
1	80625842	0.506222
1	85112025	0.0712854
1	85207983	0.0944161
1	88004433	0.852201
1	112070856	0.936608
1	112365872	0.563412
1	113308938	0.25752
1	120194636	0.146789
1	141571796	0.0828556
1	141803571	0.553779
1	142120160	0.365942
1	142362220	0.383932
1	142383353	0.751122
1	143240681	0.11489
1	143329760	0.953176
1	143785687	0.0310613
1	144951049	0.0468793
1	146319334	0.900582
1	147993238	0.0798835
1	155927453	0.601367
1	163526302	0.173171
1	164844158	0.477807
1	173886831	0.509411
1	176377356	0.666262
1	179610450	0.867621
1	190307395	0.0985923
1	209346610	0.0400193
1	209759151	0.60521
1	220929534	0.765495
1	222270212	0.678626
1	240529023	0.66397
2	8956360	0.980009
2	15706158	0.0167695
2	21801749	0.845542
2	37817980	0.0248726
2	41778231	0.0332736
2	51260400	0.228567
2	52210884	0.518324
2	70512056	0.467885
2	73383455	0.738412
2	83220055	0.485548
2	83775838	0.597317
2	89230829	0.107104
2	89926971	0.0981839
2	91393087	0.17699
2	106638999	0.671872
2	121293019	0.146804
2	131745430	0.332791
2	132727326	0.213043
2	132727571	0.621906
2	151916436	0.375895
2	164383896	0.672849
2	185766256	0.576505
2	187954557	0.322995
2	188796309	0.575794
2	190496767	0.3776
2	198262119	0.318214
2	209784027	0.218728
2	210067668	0.163209
2	212234866	0.0514987
2	236742281	0.538157
3	19222664	0.0382583
3	27900891	0.00645285
3	41343757	0.452996
3	59229992	0.509273
3	60749879	0.346495
3	70343402	0.541064
3	70809457	0.658672
3	75354517	0.306317
3	75762249	0.264972
3	75775580	0.386831
3	75797509	0.466201
3	75822398	0.446431
3	75867894	0.169073
3	75907841	0.604216
3	75931958	0.0608066
3	75976660	0.976697
3	80154740	0.352618
3	97252803	0.454219
3	100442091	0.0653724
3	150881052	0.714733
3	156051127	0.520705
3	175591868	0.485872
3	176613623	0.04519
