1	2488138	2494650	1
1	11307736	11319386	1
1	40361361	40367520	4
1	43803559	43818316	1
1	46509444	59250761	5
1	78414455	78444629	1
1	85733488	99780284	2
1	120199189	246670438	51
10	1510047	38542588	1
10	63661479	63851705	4
10	70333053	71539581	3
10	111500900	114724349	1
11	532696	2165061	1
11	7206563	17747061	1
11	30098650	35242907	4
11	61197637	110097811	37
11	110644532	111273686	1
11	118307444	118392750	1
11	119077225	126528497	5
12	394725	12874261	19
12	13685816	31957361	7
12	46123666	49449083	3
12	56474126	57864972	4
12	58142354	69233342	17
12	93919297	93919441	1
12	109960962	111885947	1
12	112940004	115120811	1
13	28578250	28611374	1
13	28622496	28919635	1
13	67591727	111119077	6
14	20347564	105906073	51
15	26216370	41023315	1
15	45003778	45468626	3
15	90630420	90645565	1
15	91290672	91354536	1
16	1601287	2226568	1
16	2666614	2672729	1
16	9857906	31691912	9
16	52085593	58529615	1
16	67070600	82113471	7
17	114669	7580651	2
17	11935599	17131327	1
17	29422358	80783009	30
18	724528	13910730	8
18	19020950	38529971	1
18	39535291	39661094	2
18	42288477	44240526	1
19	1207058	19261518	10
19	28780462	47727061	32
2	6851269	67673930	9
2	106021488	134775344	2
2	158594110	158636981	1
2	173914775	191869163	5
2	198257106	202151250	2
2	208230143	213403214	1
2	215593566	215674215	1
2	238792003	242800953	1
20	345864	35478142	12
20	36014528	36971119	1
20	39658083	39725921	1
20	40709546	40980825	1
20	46251033	46265071	1
20	46266460	46271043	1
20	48451129	52776841	2
20	55178081	60426113	6
21	36164670	44527583	10
22	19053406	49370834	11
3	12626085	12955982	1
3	49397729	49433461	2
3	49721542	49726078	2
3	75139687	75164859	1
3	89156943	89391073	1
3	89445049	89528600	1
3	94429172	194238390	37
4	1402650	1808916	2
4	48356333	84406182	9
4	99802236	99807651	1
4	106162543	106164831	2
4	136777689	142950001	1
4	143003261	143352367	1
4	145225998	153332705	1
4	187510060	190262486	1
5	218502	58088350	45
5	72671738	79172136	1
5	162712737	180076517	5
6	393261	32183083	16
6	33286550	46910415	15
6	100315027	109309818	3
6	117609810	117647482	1
6	157150458	157431651	1
6	162206872	163528948	1
7	1672540	158450965	58
8	36092421	145743127	79
9	421980	37034006	7
9	92495076	139820244	9
X	451142	53253997	16
X	66765797	76763968	2
X	100604909	149924738	4
